endfile ENDFILE
and AND 
not NOT
bool BOOL 
branch BRANCH 
case CASE 
continue CONTINUE 
default DEFAULT 
else ELSE 
end END 
if IF 
int INT 
loop LOOP 
mod MOD 
or OR 
ref REF 
return RETURN 
void VOID 
+ PLUS 
- MINUS 
* MULT 
/ DIV 
&& ANDTHEN 
|| ORELSE 
< LT 
<= LTEQ 
> GT 
>= GTEQ 
= EQ 
/= NEQ 
:= ASSIGN 
; SEMI 
, COMMA 
( LPAREN 
) RPAREN 
[ LSQR 
] RSQR 
{ LCRLY 
} RCRLY 
